Column Concept,Section,2012 Column Name,2013 Column Name,2014-2022 Column Name,2023 Column Name,2024 Column Name,2025 Column Name,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
Final Program Group,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Final Program Group,arrests_23_25.Final Program Group,arrests_23_25.Final Program Group,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Citizenship Country (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Citizenship Country,arrests_23_25.Citizenship Country,arrests_23_25.Citizenship Country,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Gender (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Gender,arrests_23_25.Gender,arrests_23_25.Gender,NEW in 2023+ - duplicate of detentions gender,,,,,,,,,,,,,,,,,
Birth Date (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Birth Date,arrests_23_25.Birth Date,arrests_23_25.Birth Date,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Birth Year (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Birth Year,arrests_23_25.Birth Year,arrests_23_25.Birth Year,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Final Order Yes No (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Final Order Yes No,arrests_23_25.Final Order Yes No,arrests_23_25.Final Order Yes No,NEW in 2023+ - TARGET VARIABLE also appears here,,,,,,,,,,,,,,,,,
Final Order Date (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Final Order Date,arrests_23_25.Final Order Date,arrests_23_25.Final Order Date,NEW in 2023+ - DROP (post-outcome date),,,,,,,,,,,,,,,,,
Departed Date (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Departed Date,arrests_23_25.Departed Date,arrests_23_25.Departed Date,NEW in 2023+ - DROP (post-outcome date),,,,,,,,,,,,,,,,,
Departure Country (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Departure Country,arrests_23_25.Departure Country,arrests_23_25.Departure Country,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Case Status (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Case Status,arrests_23_25.Case Status,arrests_23_25.Case Status,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Case Category (arrests),arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Case Category,arrests_23_25.Case Category,arrests_23_25.Case Category,NEW in 2023+ only,,,,,,,,,,,,,,,,,
TO DROP - Arrests,,,,,,,,,,,,,,,,,,,,,,,,,
Case ID (arrests),arrests - DROP,arrests.Case ID,arrests.Case ID,arrests.Case ID,arrests_23.Case ID / arrests_23_25.EID Case ID,arrests_23_25.EID Case ID,arrests_23_25.EID Case ID,DROP - identifier,,,,,,,,,,,,,,,,,
Subject ID (arrests),arrests - DROP,arrests.Subject ID,arrests.Subject ID,arrests.Subject ID,arrests_23.Subject ID / arrests_23_25.EID Subject ID,arrests_23_25.EID Subject ID,arrests_23_25.EID Subject ID,DROP - identifier,,,,,,,,,,,,,,,,,
Alien File Number (arrests),arrests - DROP,arrests.Alien File Number,arrests.Alien File Number,arrests.Alien File Number,arrests_23_25.Alien File Number,arrests_23_25.Alien File Number,arrests_23_25.Alien File Number,DROP - identifier,,,,,,,,,,,,,,,,,
DECISIONS (2012-2023 ONLY),,,,,,,,,,,,,,,,,,,,,,,,,
RISK_TO_PUBLIC_SAFETY,decisions,decisions.RISK_TO_PUBLIC_SAFETY,decisions.RISK_TO_PUBLIC_SAFETY,decisions.RISK_TO_PUBLIC_SAFETY,decisions_23.RISK_TO_PUBLIC_SAFETY,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
RISK_OF_FLIGHT,decisions,decisions.RISK_OF_FLIGHT,decisions.RISK_OF_FLIGHT,decisions.RISK_OF_FLIGHT,decisions_23.RISK_OF_FLIGHT,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
SPECIAL_VULNERABILITY,decisions,decisions.SPECIAL_VULNERABILITY,decisions.SPECIAL_VULNERABILITY,decisions.SPECIAL_VULNERABILITY,decisions_23.SPECIAL_VULNERABILITY,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
SPECIAL_VULNERABILITY_COMMENTS,decisions,NOT PRESENT,decisions.SPECIAL_VULNERABILITY_COMMENTS,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,ONLY in 2013,,,,,,,,,,,,,,,,,
REASON_REMOVAL_UNLIKELY_AT_RCA_DECISION,decisions,NOT PRESENT,decisions.REASON_REMOVAL_UNLIKELY_AT_RCA_DECISION,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,ONLY in 2013,,,,,,,,,,,,,,,,,
OFFICER_COMMENTS,decisions,NOT PRESENT,decisions.OFFICER_COMMENTS,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,ONLY in 2013,,,,,,,,,,,,,,,,,
SUPERVISOR_COMMENTS,decisions,NOT PRESENT,decisions.SUPERVISOR_COMMENTS,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,ONLY in 2013,,,,,,,,,,,,,,,,,
CASE_CAT_AT_RCA_DECISION,decisions,decisions.CASE_CAT_AT_RCA_DECISION,decisions.CASE_CAT_AT_RCA_DECISION,decisions.CASE_CAT_AT_RCA_DECISION,decisions_23.CASE_CAT_AT_RCA_DECISION,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
REMOVAL_LIKELY_AT_RCA_DECISION,decisions,decisions.REMOVAL_LIKELY_AT_RCA_DECISION,decisions.REMOVAL_LIKELY_AT_RCA_DECISION,decisions.REMOVAL_LIKELY_AT_RCA_DECISION,decisions_23.REMOVAL_LIKELY_AT_RCA_DECISION,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
RCA_RECOMMENDATION,decisions,decisions.RCA_RECOMMENDATION,decisions.RCA_RECOMMENDATION,decisions.RCA_RECOMMENDATION,decisions_23.RCA_RECOMMENDATION,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
RCA_BOND_RECOMMENDATION,decisions,decisions.RCA_BOND_RECOMMENDATION,decisions.RCA_BOND_RECOMMENDATION,decisions.RCA_BOND_RECOMMENDATION,decisions_23.RCA_BOND_RECOMMENDATION,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
RCA_FINAL_DECISION,decisions,decisions.RCA_FINAL_DECISION,decisions.RCA_FINAL_DECISION,decisions.RCA_FINAL_DECISION,decisions_23.RCA_FINAL_DECISION,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
FINAL_BOND_AMOUNT,decisions,decisions.FINAL_BOND_AMOUNT,decisions.FINAL_BOND_AMOUNT,decisions.FINAL_BOND_AMOUNT,decisions_23.FINAL_BOND_AMOUNT,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
fiscal_year_code,decisions,decisions.fiscal_year_code,decisions.fiscal_year_code,decisions.fiscal_year_code,decisions_23.fiscal_year_code,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
fiscal_quarter_name,decisions,decisions.fiscal_quarter_name,decisions.fiscal_quarter_name,decisions.fiscal_quarter_name,decisions_23.fiscal_quarter_name,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
SPEC_VULN_VER,decisions,decisions.SPEC_VULN_VER,decisions.SPEC_VULN_VER,decisions.SPEC_VULN_VER,decisions_23.SPEC_VULN_VER,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
MAN_DET_VER,decisions,decisions.MAN_DET_VER,decisions.MAN_DET_VER,decisions.MAN_DET_VER,decisions_23.MAN_DET_VER,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
DISC_INFR_VER,decisions,decisions.DISC_INFR_VER,decisions.DISC_INFR_VER,decisions.DISC_INFR_VER,decisions_23.DISC_INFR_VER,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
TO DROP - Decisions,,,,,,,,,,,,,,,,,,,,,,,,,
RCA_AOR,decisions - DROP,decisions.RCA_AOR,decisions.RCA_AOR,decisions.RCA_AOR,decisions_23.RCA_AOR,NOT PRESENT,NOT PRESENT,DROP - administrative,,,,,,,,,,,,,,,,,
RCA_DCO,decisions - DROP,decisions.RCA_DCO,decisions.RCA_DCO,decisions.RCA_DCO,decisions_23.RCA_DCO,NOT PRESENT,NOT PRESENT,DROP - administrative,,,,,,,,,,,,,,,,,
A_NUMBER,decisions - DROP,decisions.A_NUMBER,decisions.A_NUMBER,decisions.A_NUMBER,decisions_23.A_NUMBER,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
SUBJ_ID,decisions - DROP,decisions.SUBJ_ID,decisions.SUBJ_ID,decisions.SUBJ_ID,decisions_23.SUBJ_ID,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
LAST_NAME,decisions - DROP,decisions.LAST_NAME,decisions.LAST_NAME,decisions.LAST_NAME,decisions_23.LAST_NAME,NOT PRESENT,NOT PRESENT,DROP - PII,,,,,,,,,,,,,,,,,
FIRST_NAME,decisions - DROP,decisions.FIRST_NAME,decisions.FIRST_NAME,decisions.FIRST_NAME,decisions_23.FIRST_NAME,NOT PRESENT,NOT PRESENT,DROP - PII,,,,,,,,,,,,,,,,,
ALERT_CODE,decisions - DROP,decisions.ALERT_CODE,decisions.ALERT_CODE,decisions.ALERT_CODE,decisions_23.ALERT_CODE,NOT PRESENT,NOT PRESENT,DROP - administrative,,,,,,,,,,,,,,,,,
OFFICER_ID,decisions - DROP,decisions.OFFICER_ID,decisions.OFFICER_ID,decisions.OFFICER_ID,decisions_23.OFFICER_ID,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
SUPERVISOR_ID,decisions - DROP,decisions.SUPERVISOR_ID,decisions.SUPERVISOR_ID,decisions.SUPERVISOR_ID,decisions_23.SUPERVISOR_ID,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
DETENTIONS,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,detentions,detentions.Gender,detentions.Gender,detentions.Gender,detentions_23.Gender,detentions_23_24.Gender / detentions_24_25.Gender,detentions_24_25.Gender,Consistent - note name same,,,,,,,,,,,,,,,,,
Ethnicity,detentions,detentions.Ethnicity,detentions.Ethnicity,detentions.Ethnicity,detentions_23.Ethnicity,detentions_23_24.Ethnicity / detentions_24_25.Ethnicity,detentions_24_25.Ethnicity,Consistent,,,,,,,,,,,,,,,,,
Birth Year,detentions,detentions.Birth Year,detentions.Birth Year,detentions.Birth Year,detentions_23.Birth Year,detentions_23_24.Birth Year / detentions_24_25.Birth Year,detentions_24_25.Birth Year,Consistent,,,,,,,,,,,,,,,,,
Marital,detentions,detentions.Marital,detentions.Marital,detentions.Marital,detentions_23.Marital,detentions_23_24.Marital Status / detentions_24_25.Marital Status,detentions_24_25.Marital Status,RENAMED - 'Marital' in old / 'Marital Status' in new,,,,,,,,,,,,,,,,,
Religion,detentions,detentions.Religion,detentions.Religion,detentions.Religion,detentions_23.Religion,detentions_23_24.Religion / detentions_24_25.Religion,detentions_24_25.Religion,Consistent,,,,,,,,,,,,,,,,,
Entry Status,detentions,detentions.Entry Status,detentions.Entry Status,detentions.Entry Status,detentions_23.Entry Status,detentions_23_24.Entry Status / detentions_24_25.Entry Status,detentions_24_25.Entry Status,Consistent,,,,,,,,,,,,,,,,,
Case Status,detentions,detentions.Case Status,detentions.Case Status,detentions.Case Status,detentions_23.Case Status,detentions_23_24.Case Status / detentions_24_25.Case Status,detentions_24_25.Case Status,Consistent,,,,,,,,,,,,,,,,,
Case Category,detentions,detentions.Case Category,detentions.Case Category,detentions.Case Category,detentions_23.Case Category,detentions_23_24.Case Category / detentions_24_25.Case Category,detentions_24_25.Case Category,Consistent,,,,,,,,,,,,,,,,,
Case Threat Level,detentions,detentions.Case Threat Level,detentions.Case Threat Level,detentions.Case Threat Level,detentions_23.Case Threat Level,detentions_23_24.Case Threat Level / detentions_24_25.Case Threat Level,detentions_24_25.Case Threat Level,Consistent,,,,,,,,,,,,,,,,,
Bond Posted Amount,detentions,detentions.Bond Posted Amount,detentions.Bond Posted Amount,detentions.Bond Posted Amount,detentions_23.Bond Posted Amount,detentions_23_24.Bond Posted Amount / detentions_24_25.Bond Posted Amount,detentions_24_25.Bond Posted Amount,Consistent,,,,,,,,,,,,,,,,,
Initial Bond Set Amount,detentions,detentions.Initial Bond Set Amount,detentions.Initial Bond Set Amount,detentions.Initial Bond Set Amount,detentions_23.Initial Bond Set Amount,detentions_23_24.Initial Bond Set Amount / detentions_24_25.Initial Bond Set Amount,detentions_24_25.Initial Bond Set Amount,Consistent,,,,,,,,,,,,,,,,,
Detention Facility,detentions,detentions.Detention Facility,detentions.Detention Facility,detentions.Detention Facility,detentions_23.Detention Facility,detentions_23_24.Detention Facility / detentions_24_25.Detention Facility,detentions_24_25.Detention Facility,Consistent,,,,,,,,,,,,,,,,,
Final Order Yes No (TARGET),detentions,detentions.Final Order Yes No,detentions.Final Order Yes No,detentions.Final Order Yes No,detentions_23.Final Order Yes No,detentions_23_24.Final Order Yes No / detentions_24_25.Final Order Yes No,detentions_24_25.Final Order Yes No,TARGET VARIABLE - present in all years,,,,,,,,,,,,,,,,,
Charge,detentions,detentions.Charge,detentions.Charge,detentions.Charge,detentions_23.Charge,NOT PRESENT,NOT PRESENT,RENAMED to 'Final Charge' in 2024-2025,,,,,,,,,,,,,,,,,
Final Charge,detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Final Charge / detentions_24_25.Final Charge,detentions_24_25.Final Charge,RENAMED from 'Charge' - same concept,,,,,,,,,,,,,,,,,
Book In Criminality,detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Book In Criminality / detentions_24_25.Book In Criminality,detentions_24_25.Book In Criminality,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
Felon,detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Felon / detentions_24_25.Felon,detentions_24_25.Felon,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
Citizenship Country (detentions),detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Citizenship Country / detentions_24_25.Citizenship Country,detentions_24_25.Citizenship Country,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
MSC Charge (detentions),detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.MSC Charge / detentions_24_25.MSC Charge,detentions_24_25.MSC Charge,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
MSC Charge Code (detentions),detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Most Serious Conviction MSC Charge Code / detentions_24_25.Most Serious Conviction MSC Charge Code,detentions_24_25.Most Serious Conviction MSC Charge Code,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
Final Program (detentions),detentions,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,detentions_23_24.Final Program / detentions_24_25.Final Program,detentions_24_25.Final Program,NEW in 2024-2025 only,,,,,,,,,,,,,,,,,
TO DROP - Detentions,,,,,,,,,,,,,,,,,,,,,,,,,
Detention ID,detentions - DROP,detentions.Detention ID,detentions.Detention ID,detentions.Detention ID,detentions_23.Detention ID,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
Case ID (detentions),detentions - DROP,detentions.Case ID,detentions.Case ID,detentions.Case ID,detentions_23.Case ID / detentions_23_24.EID Case ID,detentions_23_24.EID Case ID / detentions_24_25.EID Case ID,detentions_24_25.EID Case ID,DROP - identifier,,,,,,,,,,,,,,,,,
Subject ID (detentions),detentions - DROP,detentions.Subject ID,detentions.Subject ID,detentions.Subject ID,detentions_23.Subject ID / detentions_23_24.EID Subject ID,detentions_23_24.EID Subject ID / detentions_24_25.EID Subject ID,detentions_24_25.EID Subject ID,DROP - identifier,,,,,,,,,,,,,,,,,
Alien File Number (detentions),detentions - DROP,detentions.Alien File Number,detentions.Alien File Number,detentions.Alien File Number,detentions_23.Alien File Number / detentions_23_24.Alien File Number,detentions_23_24.Alien File Number / detentions_24_25.Alien File Number,detentions_24_25.Alien File Number,DROP - identifier,,,,,,,,,,,,,,,,,
Final Order Date (detentions),detentions - DROP,detentions.Final Order Date,detentions.Final Order Date,detentions.Final Order Date,detentions_23.Final Order Date,detentions_23_24.Final Order Date / detentions_24_25.Final Order Date,detentions_24_25.Final Order Date,DROP - post-outcome date,,,,,,,,,,,,,,,,,
Departed Date (detentions),detentions - DROP,detentions.Departed Date,detentions.Departed Date,detentions.Departed Date,detentions_23.Departed Date,detentions_23_24.Departed Date / detentions_24_25.Departed Date,detentions_24_25.Departed Date,DROP - post-outcome date,,,,,,,,,,,,,,,,,
Departure Country (detentions),detentions - DROP,detentions.Departure Country,detentions.Departure Country,detentions.Departure Country,detentions_23.Departure Country,detentions_23_24.Departure Country / detentions_24_25.Departure Country,detentions_24_25.Departure Country,DROP - post-outcome,,,,,,,,,,,,,,,,,
Birth Date (detentions),detentions - DROP,detentions.Birth Date,detentions.Birth Date,detentions.Birth Date,detentions_23.Birth Date,detentions_23_24.Birth Date / detentions_24_25.Birth Date,detentions_24_25.Birth Date,DROP - use Birth Year instead,,,,,,,,,,,,,,,,,
Detention Book In Date,detentions - DROP,detentions.Detention Book In Date,detentions.Detention Book In Date,detentions.Detention Book In Date,detentions_23.Detention Book In Date,detentions_23_24.Book In Date Time / detentions_24_25.Book In Date Time,detentions_24_25.Book In Date Time,Used for year sampling only - DROP from features,,,,,,,,,,,,,,,,,
REMOVALS (2012-2023 ONLY),,,,,,,,,,,,,,,,,,,,,,,,,
Birth Country,removals,removals.Birth Country,removals.Birth Country,removals.Birth Country,removals_23.Birth Country,NOT PRESENT,NOT PRESENT,Missing 2024-2025 - available in detainers_23_25 instead,,,,,,,,,,,,,,,,,
Citizenship Country,removals,removals.Citizenship Country,removals.Citizenship Country,removals.Citizenship Country,removals_23.Citizenship Country,NOT PRESENT,NOT PRESENT,Missing 2024-2025 - available in arrests_23_25 and detentions instead,,,,,,,,,,,,,,,,,
Entry Status (removals),removals,removals.Entry Status,removals.Entry Status,removals.Entry Status,removals_23.Entry Status,NOT PRESENT,NOT PRESENT,Also in detentions - use that for consistency,,,,,,,,,,,,,,,,,
MSC Charge,removals,removals.MSC Charge,removals.MSC Charge,removals.MSC Charge,removals_23.MSC Charge,NOT PRESENT,NOT PRESENT,Available in detainers_23_25 for 2024-2025,,,,,,,,,,,,,,,,,
MSC Charge Code,removals,removals.MSC Charge Code,removals.MSC Charge Code,removals.MSC Charge Code,removals_23.MSC Charge Code,NOT PRESENT,NOT PRESENT,Available in detainers_23_25 for 2024-2025,,,,,,,,,,,,,,,,,
MSC Conviction Date,removals,removals.MSC Conviction Date,removals.MSC Conviction Date,removals.MSC Conviction Date,removals_23.MSC Conviction Date,NOT PRESENT,NOT PRESENT,Available in detainers_23_25 for 2024-2025,,,,,,,,,,,,,,,,,
MSC Criminal Charge Status,removals,removals.MSC Criminal Charge Status,removals.MSC Criminal Charge Status,removals.MSC Criminal Charge Status,removals_23.MSC Criminal Charge Status,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
Case Threat Level (removals),removals,removals.Case Threat Level,removals.Case Threat Level,removals.Case Threat Level,removals_23.Case Threat Level,NOT PRESENT,NOT PRESENT,Available in detentions for all years,,,,,,,,,,,,,,,,,
Current Program,removals,removals.Current Program,removals.Current Program,removals.Current Program,removals_23.Current Program,NOT PRESENT,NOT PRESENT,Available in detainers as 'Final Program' for 2024-2025,,,,,,,,,,,,,,,,,
Processing Disposition,removals,removals.Processing Disposition,removals.Processing Disposition,removals.Processing Disposition,removals_23.Processing Disposition,NOT PRESENT,NOT PRESENT,Available in detainers_23_25 for 2024-2025,,,,,,,,,,,,,,,,,
Processing Disposition Code,removals,removals.Processing Disposition Code,removals.Processing Disposition Code,removals.Processing Disposition Code,removals_23.Processing Disposition Code,NOT PRESENT,NOT PRESENT,Missing 2024-2025,,,,,,,,,,,,,,,,,
Final Order Yes No (removals),removals,removals.Final Order Yes No,removals.Final Order Yes No,removals.Final Order Yes No,removals_23.Final Order Yes No,NOT PRESENT,NOT PRESENT,TARGET - use detentions version for consistency across all years,,,,,,,,,,,,,,,,,
TO DROP - Removals,,,,,,,,,,,,,,,,,,,,,,,,,
Case ID (removals),removals - DROP,removals.Case ID,removals.Case ID,removals.Case ID,removals_23.Case ID,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
Alien File Number (removals),removals - DROP,removals.Alien File Number,removals.Alien File Number,removals.Alien File Number,removals_23.Alien File Number,NOT PRESENT,NOT PRESENT,DROP - identifier,,,,,,,,,,,,,,,,,
Birth Date (removals),removals - DROP,removals.Birth Date,removals.Birth Date,removals.Birth Date,removals_23.Birth Date,NOT PRESENT,NOT PRESENT,DROP - use Birth Year,,,,,,,,,,,,,,,,,
Final Order Date (removals),removals - DROP,removals.Final Order Date,removals.Final Order Date,removals.Final Order Date,removals_23.Final Order Date,NOT PRESENT,NOT PRESENT,DROP - post-outcome date,,,,,,,,,,,,,,,,,
Departure Date (removals),removals - DROP,removals.Departure Date,removals.Departure Date,removals.Departure Date,removals_23.Departure Date,NOT PRESENT,NOT PRESENT,DROP - post-outcome date,,,,,,,,,,,,,,,,,
Departure Country (removals),removals - DROP,removals.Departure Country,removals.Departure Country,removals.Departure Country,removals_23.Departure Country,NOT PRESENT,NOT PRESENT,DROP - post-outcome,,,,,,,,,,,,,,,,,
Port of Departure,removals - DROP,removals.Port of Departure,removals.Port of Departure,removals.Port of Departure,removals_23.Port of Departure,NOT PRESENT,NOT PRESENT,DROP - post-outcome,,,,,,,,,,,,,,,,,
NEW IN 2023-2025 - DETAINERS TABLE (brand new),,,,,,,,,,,,,,,,,,,,,,,,,
Prior Felony Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Prior Felony Yes No,detainers_23_25.Prior Felony Yes No,detainers_23_25.Prior Felony Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Aggravated Felony Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Aggravated Felony Yes No,detainers_23_25.Aggravated Felony Yes No,detainers_23_25.Aggravated Felony Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Violent Misdemeanor Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Violent Misdemeanor Yes No,detainers_23_25.Violent Misdemeanor Yes No,detainers_23_25.Violent Misdemeanor Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Criminal Street Gang Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Criminal Street Gang Yes No,detainers_23_25.Criminal Street Gang Yes No,detainers_23_25.Criminal Street Gang Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Illegal Entry Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Illegal Entry Yes No,detainers_23_25.Illegal Entry Yes No,detainers_23_25.Illegal Entry Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Illegal Reentry Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Illegal Reentry Yes No,detainers_23_25.Illegal Reentry Yes No,detainers_23_25.Illegal Reentry Yes No,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Felon (detainers),detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Felon,detainers_23_25.Felon,detainers_23_25.Felon,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Detainer Prep Threat Level,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Detainer Prep Threat Level,detainers_23_25.Detainer Prep Threat Level,detainers_23_25.Detainer Prep Threat Level,NEW - potentially very useful,,,,,,,,,,,,,,,,,
